# MNE-Annotations
# orig_time : 2021-01-01 10:14:48
# onset, duration, description
1460.065,0.0,photic_stimulation/5
1460.13,0.0,photic_stimulation/5
1460.195,0.0,photic_stimulation/5
1460.265,0.0,photic_stimulation/5
1460.33,0.0,photic_stimulation/5
1460.395,0.0,photic_stimulation/5
1460.465,0.0,photic_stimulation/5
1460.53,0.0,photic_stimulation/5
1460.595,0.0,photic_stimulation/5
1460.665,0.0,photic_stimulation/5
1460.735,0.0,photic_stimulation/5
1460.8,0.0,photic_stimulation/5
1460.865,0.0,photic_stimulation/5
1460.93,0.0,photic_stimulation/5
1460.995,0.0,photic_stimulation/5
1461.065,0.0,photic_stimulation/5
1461.13,0.0,photic_stimulation/5
1461.195,0.0,photic_stimulation/5
1461.265,0.0,photic_stimulation/5
1461.33,0.0,photic_stimulation/5
1461.395,0.0,photic_stimulation/5
1461.465,0.0,photic_stimulation/5
1461.535,0.0,photic_stimulation/5
1461.6,0.0,photic_stimulation/5
1461.665,0.0,photic_stimulation/5
1466.72,0.0,photic_stimulation/5
1466.77,0.0,photic_stimulation/5
1466.82,0.0,photic_stimulation/5
1466.87,0.0,photic_stimulation/5
1466.92,0.0,photic_stimulation/5
1466.97,0.0,photic_stimulation/5
1467.02,0.0,photic_stimulation/5
1467.07,0.0,photic_stimulation/5
1467.12,0.0,photic_stimulation/5
1467.17,0.0,photic_stimulation/5
1467.22,0.0,photic_stimulation/5
1467.27,0.0,photic_stimulation/5
1467.32,0.0,photic_stimulation/5
1467.37,0.0,photic_stimulation/5
1467.42,0.0,photic_stimulation/5
1467.47,0.0,photic_stimulation/5
1467.52,0.0,photic_stimulation/5
1467.57,0.0,photic_stimulation/5
1467.62,0.0,photic_stimulation/5
1467.67,0.0,photic_stimulation/5
1467.72,0.0,photic_stimulation/5
1467.77,0.0,photic_stimulation/5
1467.82,0.0,photic_stimulation/5
1467.87,0.0,photic_stimulation/5
1467.92,0.0,photic_stimulation/5
1467.97,0.0,photic_stimulation/5
1468.02,0.0,photic_stimulation/5
1468.07,0.0,photic_stimulation/5
1468.12,0.0,photic_stimulation/5
